1846	1294
2293	5224
12641	899
8811	6419
3404	11857
12872	4168
8839	747
1104	12613
1917	9328
5064	8188
13190	10
8202	8690
13501	9293
6878	12062
5692	2850
10465	10249
12545	7084
2018	841
13257	8964
14535	7560
1729	2044
5347	6349
7664	3483
220	6095
11325	12397
1200	3727
10855	2030
12313	3164
8959	8911
10497	1071
13580	1975
13376	1020
14058	7551
1994	1540
7707	2555
663	13093
3332	2121
4012	1593
13600	9380
12466	12376
5234	13255
12251	3307
7607	10029
2785	10654
9441	3293
10541	10664
4802	12013
3160	6490
384	221
4942	1349
11367	13090
838	6063
435	5250
7496	175
11290	6737
5089	12390
7581	12767
12389	1859
5546	5406
8481	4147
9226	5915
8885	10935
8030	1024
12201	6122
4980	4029
287	3345
2650	2754
13163	12939
14074	2677
3894	55
7988	6154
11195	11598
14234	6566
3923	2066
9738	3860
6537	7432
11256	5455
7594	2013
5816	2917
10249	1364
909	9354
7121	11913
11994	9286
5278	2541
1037	925
1020	9890
5899	5161
323	9193
10643	2580
13202	3005
7911	5203
7122	2165
13568	10403
3950	2839
4136	2151
14493	12045
7735	11919
4137	9686
1932	10364
11279	12572
10794	11597
4577	1671
7307	5182
7612	10806
8667	6292
11362	6437
11592	12917
14629	695
3449	8368
14101	8003
3415	5515
12755	864
6422	5869
571	10533
4125	6143
12759	5439
12	8536
11017	10582
1715	2537
6923	9329
3191	12308
8345	7149
2363	2050
8344	3959
13186	7416
1571	1984
4546	8000
6064	11801
12158	10272
9027	7709
947	11530
1503	12193
5335	2560
9243	6976
964	2148
13947	1131
229	11420
4455	6675
6855	11614
14267	8247
14429	7347
14719	12083
14362	2833
5595	6329
5460	64
56	11656
4985	9160
10752	9410
5843	8469
8140	9352
1956	758
14600	9034
12472	12293
6768	8090
7713	305
310	10625
5598	4600
4962	235
6995	6968
14133	7276
14338	5500
6454	1935
1976	3863
6915	10377
526	1345
13867	10522
7536	9649
8674	5015
13737	5716
1356	3106
2434	7114
321	10294
5714	5053
7803	11532
11821	4534
14487	11001
262	1431
7796	4066
13453	12357
3417	9235
13672	6765
7913	9867
11075	8455
11466	13162
9271	12550
14046	3752
13611	4110
3377	533
13957	11218
6141	11273
9290	738
7094	5519
7441	1398
11663	11295
5138	6544
10461	1036
11666	13269
6329	9714
6103	3902
13659	3334
1987	12087
9609	8932
4351	9417
11973	1488
4391	9290
7824	3623
9176	7256
13180	12077
4940	6373
11550	2464
2483	4641
6799	1438
5494	5065
9249	8646
14596	1182
13725	926
7799	10995
12104	6930
13841	7923
5527	4197
13718	11084
9251	1138
461	6707
2184	6012
11201	4917
12068	8919
9463	6515
1333	7978
8748	9311
14286	10339
4660	6156
1645	1720
