Q9NX00 Q9UBY8
P62826 P62826
Q9Y5Q8 Q9Y3I0
Q9H204 O95544
Q92963 Q14525
Q9NVK5 Q8NC42
Q96RK1 Q96RK1
P06454 Q86X55
O94813 O94813
Q9NXH8 Q9NXH8
Q8N693 Q9Y2C9
Q99459 Q99459
Q5TAQ9 Q9NRA8
Q13395 Q86WP2
Q6DCA0 Q6DCA0
P54792 Q9P2J9
Q96PE3 Q96PE3
P21399 P21399
P20333 Q2T9J0
Q8IZH2 Q8IZH2
P01236 Q86XA9
P15498 P15498
Q9NP97 Q9NP97
Q9NZR1 Q9NZR1
Q96S15 Q9Y2P5
Q08AM6 Q08AM6
Q8IV36 Q5T7N2
Q9NPJ6 Q9NPJ6
Q02040 Q9Y237
Q9P0N9 Q2VYF4
O95619 Q8IXJ6
P50552 P50552
Q9H2K2 Q969W9
Q6N089 Q6N089
P50993 Q9NQI0
O95886 Q92963
Q9BUY5 Q6IAA8
Q569K4 Q569K4
Q49A26 O00712
P42345 P42345
Q9Y2Y1 Q6NX55
Q9BYX7 P32519
Q5TC82 Q13541
B2RTY4 P06132
Q7Z6M3 Q8WYK0
Q6Q0C1 Q68DX3
P48163 P48163
P30566 P30566
P31943 P14866
Q9BWS9 P05546
Q13546 Q6ZVM7
A1L443 B7ZLH0
Q14494 Q9Y3A4
Q9UKS6 Q9UKS6
Q13421 Q13421
Q96G74 Q96G74
O75886 O75886
P98153 P98153
Q9H3J6 Q5EB52
Q96ED9 P04350
O95817 O95817
Q99797 Q96I99
Q13395 Q9NUN5
P68371 P68371
P28289 Q5MIZ7
Q9BTF0 Q9BTF0
O75602 O75602
Q6P2D8 O95147
Q8NFA0 P28331
O94923 Q6PML9
Q52LA3 Q52LA3
P82675 P82675
Q14147 Q9BTE0
A0A0S2Z3R2 A0A0S2Z4A7
P16260 Q9BUW7
Q9UPW5 Q9UBB6
P51636 P51636
P23352 Q9Y2K9
Q969X1 Q969X1
P26038 P26038
P49908 P49908
Q96L91 O00255
O94988 O94988
P45877 P80098
P04264 O14522
Q8N448 P52948
Q99985 Q6VEQ5
Q8WUD4 Q8WUD4
Q6NZI2 Q6NZI2
Q03014 Q03014
P04201 O60487
P21439 Q9BQI7
Q659A1 Q659A1
P02671 P02671
P15884 P15884
P14543 P34949
Q16534 Q16534
Q14746 Q14746
P53420 P53420
Q9Y244 Q9Y244
Q96H86 A5YM69
Q9H269 Q9H269
P59998 P59998
P21439 Q9NQ38
Q02930 Q9BPZ7
Q8WYQ5 Q9Y3B7
O75886 Q9UPW5
P46736 O95630
Q8TEU7 Q8TEU7
Q92615 Q9Y5Q8
Q8WU68 Q1XH10
Q9Y281 Q9Y281
O75886 Q9UBB6
Q9BPZ7 Q02930
Q8NI51 Q8NI51
P78524 Q8TAK6
Q96EB1 Q8N6M6
Q9BZD4 Q8NB90
Q5BKY9 Q6NVV7
Q8N490 Q8TAZ6
Q9Y546 Q13405
O00206 O00206
Q9Y2H8 Q8N6M6
P09493 P09493
O00533 O00533
Q6NUN7 Q02641
O43143 P61163
Q8NB46 Q9BVC4
Q8N357 Q8NC42
Q86WB0 Q5MJ09
Q6VEQ5 Q9Y2K9
Q14562 Q14562
Q8WV48 Q8WV48
Q96JC1 Q96JC1
Q9Y3Z3 Q9Y3Z3
P59666 Q9UBX1
P34925 P34925
Q14695 Q14695
Q96QA6 A0PJZ3
O14493 Q9H269
Q96JY0 O75319
Q8N726 O00255
Q9UK76 Q86X29
Q9UMD9 Q9UK76
Q86VP6 Q86VP6
Q9BVC4 O94804
Q5TC82 Q96H55
P61081 P61081
Q8WUD4 Q8IZP6
Q8IV36 Q8IUX1
O00311 Q9UIM3
Q5JNZ3 Q5JNZ3
Q9UJT1 Q64LD2
Q9NQI0 Q9H074
Q14684 P62318
Q9UL16 Q53FA7
P18754 P18754
P46527 P46527
Q6IAA8 Q8WYQ9
O95342 P42658
Q7L4I2 Q7L4I2
P51957 Q9HCD6
Q96DE5 Q96DE5
O75368 Q9H6Q3
Q9UHK0 P49454
Q96F46 Q9P296
P08865 P08865
O94804 Q8IX03
Q7Z4H7 Q86TB9
Q99543 O95299
Q8IX03 Q6P2H3
P09417 Q92963
P62324 P62324
O15243 O15243
Q52LA3 Q8WY54
Q8NFN8 Q8NFN8
Q86WU2 Q9H074
A8MPS7 A8MPS7
Q8NGW1 Q7Z4U5
O95751 O95751
Q9NP56 Q14588
Q03060 P60568
Q07157 Q07157
O94804 Q8TEU7
Q9UPY8 Q9UPY8
Q96FH0 Q494R4
Q6IAA8 Q13203
Q8N531 Q9Y320
P01286 P02778
Q9BPX6 Q12981
Q9P035 Q9P035
Q6VEQ5 Q6VEQ5
Q8IWL2 Q8IWL2
Q05639 Q05639
P35527 Q38SD2
P27105 Q9UPW5
Q9Y256 Q9Y256
Q5MJ09 Q92519
Q5TGZ0 P04083
Q6NUN7 P51513
Q9BUW7 Q96FH0
P46108 P46108
Q9HCE3 Q4G0W2
O15442 Q8IXV7
Q7KZS0 P98153
Q8TCB7 O15442
Q96AX1 Q8WVV9
Q86WB0 Q96LD4
Q9P0U1 Q8N9F8
P42658 Q9NQ38
Q8WW32 Q8WW32
Q00169 Q92622
O00311 Q8NFZ5
Q9BQ83 Q0ZGT2
P22466 O75063
Q9Y5B9 Q9Y5B9
O43813 P18621
P02808 P02808
Q9BR39 Q9BR39
O43827 O43827
P27986 P27986
P62937 P62937
Q13542 Q13542
Q5T3U5 Q13395
Q52LA3 Q8N1W1
Q9NYJ8 Q9NYJ8
P05814 P12036
Q14525 P09417
Q6VEQ5 Q99985
O43196 Q8N3J3
Q13219 P78414
P31350 Q8N8S7
O95400 O95400
Q9UPN3 Q92665
Q9UK58 Q6ZT98
P24534 P24534
Q14324 Q14324
P32121 P32121
P42658 O95342
Q6VEQ5 P23352
Q9Y664 O15547
Q92621 Q92621
Q9P2S5 Q9P2S5
Q0ZGT2 P15586
Q9H6T3 Q9H6T3
P22307 P22466
P42336 O60264
Q8NEZ2 O00311
P50454 P50454
Q9BQE3 Q9BQE3
Q9Y296 Q9Y296
Q8WUH1 Q8WUH1
Q9BTC8 P09622
O95361 Q9Y253
Q6ZMW3 P13866
Q8N394 Q8N394
P32249 Q99985
P51153 P53602
Q9H6K4 Q9Y253
Q9NZQ3 P68363
Q9UNF1 Q10567
P04264 P35908
Q9H0B3 O43167
O75616 P41214
P31689 P31689
Q8N3T1 Q8N3T1
Q8IYX4 Q8N693
Q9P2D0 P28066
P06454 P06454
P21439 O95460
P10644 P10644
Q9BUA3 Q9BUA3
Q504T8 Q504T8
Q96H55 Q5TC82
P62495 Q9NR50
Q9UJH8 Q9UJH8
Q92963 O95886
P09234 Q9BTV6
P42768 Q5T5P2
P23025 Q86YV9
Q92185 P05538
Q9BRU9 Q96AY2
Q96A33 P18621
Q9H1B4 O15354
Q5VWQ8 Q5VWQ8
Q8WWL7 Q8WWL7
Q9Y2J4 Q8IXJ6
Q99985 Q99985
P35251 P49959
Q8N531 P53582
P15104 P15104
Q8N7B6 Q07617
Q9NP61 Q9NP61
P51531 P62487
Q5BKY9 Q9UBQ0
Q12986 Q00653
Q2TAK8 Q9BQI0
P83732 Q96C15
O95881 O95881
P05120 P05120
Q8IV56 Q8IV56
P28676 P28676
P49795 Q96IZ7
Q9BX73 Q0P5N6
Q7Z2H8 Q04771
O15145 P23469
P28331 Q8NFA0
Q9UJX5 Q9UJX5
O14522 P35908
P43686 P61163
O43423 Q9UPR6
Q8TAZ6 Q5EB52
Q6PML9 P10589
O95342 O95342
Q6AI08 O43314
Q08117 Q8WW59
Q8N8Y2 Q9NY97
P25791 P25791
P30153 P30153
Q96PK6 Q96PK6
P14866 P52597
Q8N1W1 Q8N1W1
P19438 P19438
Q13829 Q9NXV2
B2RTY4 P31949
Q16553 Q4ADV7
P08621 P08621
Q9Y237 Q9Y237
P28161 Q9NPH5
P43220 P43220
Q8IZ73 O76013
Q96CF2 Q96CF2
Q9ULP0 O95460
Q92499 Q92499
P60953 P60953
Q9P2D0 Q9P2D0
Q9NR96 Q9NYA1
Q86WP2 Q7KZS0
Q96C57 Q9NTX7
Q9NVK5 Q9NVK5
Q9H492 Q9H492
A0PJZ3 A0PJZ3
Q9BQ52 Q9BQ52
Q14964 Q9P0N9
P06239 P11362
Q9NVK5 Q96HW7
Q86TB9 Q7Z4H7
O60832 O60832
P31749 P31749
Q10570 P35573
O15524 Q15303
Q5T7N2 Q8IUX1
Q6IA69 P50225
Q9BXW6 Q1ED39
Q08AL9 Q08AL9
O43164 P49903
Q96EZ8 O95684
Q9NT62 Q9NT62
Q8TEB7 O94864
Q9NWV8 Q9Y2H0
Q9BTP6 Q9BTP6
Q9BQQ3 P05423
O95163 O43813
P04233 Q8WWL7
P08195 P08195
Q13395 Q9Y2P5
Q96T92 O60225
Q5FWF4 Q14995
Q5FBB7 P0DPB3
Q99983 Q68DX3
Q9H2H8 Q9BQI0
Q9NYJ8 O00311
Q96K62 P05538
Q96A33 P26639
P28289 Q6P158
O95976 Q14644
Q496A3 P31268
Q8N3T1 Q9NXL2
A5A3E0 A5A3E0
Q6P9B9 Q9NVK5
Q9Y253 O95361
Q6NX55 P04628
O43524 O43524
P61026 P61026
Q13557 Q13557
O75593 O75593
P51617 P51617
P55795 P55795
Q9NP80 Q96S15
Q9UHA3 Q9Y3D3
Q6DCA0 Q14588
Q86UA1 Q86UA1
P17181 Q96RK1
Q9Y262 Q9Y262
Q99619 Q99619
P04278 P04278
O43610 O43610
P28066 Q9UNN5
Q9Y4L5 P98170
P78524 P78524
Q5T3U5 Q86WP2
Q8NES3 Q96AY2
Q5T9A4 Q5T9A4
P38405 P38405
P14324 P14324
O95704 O95704
Q6P444 Q6P444
Q8N3Z6 Q8TDB6
Q8N1G0 Q9NV31
Q9NYY1 Q9UHD0
P55854 P55854
Q8NFZ5 Q8NFZ5
Q92552 Q92552
O43414 O43414
Q8IV03 Q8IV03
Q7Z4H7 Q9BRS2
P49756 P49756
P51826 Q9NWD9
P50213 Q9BQ24
Q92738 P14136
P21917 B4DRS2
Q96HW7 Q9NVK5
Q5T5P2 O15145
P54198 P54198
Q8NEZ2 Q8NEZ2
Q04323 Q9UPQ9
O75874 O75874
Q96PY6 O43196
Q14CB8 Q9NV66
Q9H6Z9 Q9H6Z9
Q9H2M3 Q9H2M3
O95292 O95292
P61353 P61353
Q8NB46 Q96ST2
Q9H0D6 Q9H0D6
P24557 P24557
A0A0A0MQW5 P23434
P55209 Q15424
P53582 P54289
P51153 O00562
O43921 O43921
O75886 Q6ZVM7
O43290 O43290
O15131 Q9BTV6
P18621 P26639
Q86WJ1 Q96AX1
