9;24;0,2,4,5,8,12,14,18,20;2,2,1,3,4,2,4,2,4;6,8,4,8,5,5,6,7,1,6,7,8,2,3,0,3,4,8,3,4,0,1,4,6
9;24;0,3,4,6,8,11,13,17,20;3,1,2,2,3,2,4,3,4;6,7,8,5,5,6,4,8,3,6,8,1,2,0,2,4,7,0,6,8,0,3,4,7
9;34;0,4,9,12,13,15,19,22,28;4,5,3,1,2,4,3,6,6;1,6,7,8,0,2,5,7,8,1,7,8,6,5,8,1,4,7,8,0,3,7,0,1,2,5,6,8,0,1,2,4,5,7
9;32;0,4,8,11,12,14,18,21,26;4,4,3,1,2,4,3,5,6;1,6,7,8,0,2,5,8,1,7,8,6,5,8,1,4,7,8,0,3,7,0,2,5,6,8,0,1,2,4,5,7
9;30;0,3,7,10,11,13,17,20,25;3,4,3,1,2,4,3,5,5;1,6,7,0,2,5,8,1,7,8,6,5,8,1,4,7,8,0,3,7,0,2,5,6,8,1,2,4,5,7
9;32;0,3,8,11,12,14,18,21,26;3,5,3,1,2,4,3,5,6;1,6,8,0,2,5,7,8,1,7,8,6,5,8,1,4,7,8,0,3,7,1,2,5,6,8,0,1,2,4,5,7
9;30;0,3,7,10,11,13,17,20,24;3,4,3,1,2,4,3,4,6;1,6,8,0,2,5,8,1,7,8,6,5,8,1,4,7,8,0,3,7,2,5,6,8,0,1,2,4,5,7
9;30;0,2,7,10,11,13,17,20,25;2,5,3,1,2,4,3,5,5;1,6,0,2,5,7,8,1,7,8,6,5,8,1,4,7,8,0,3,7,1,2,5,6,8,1,2,4,5,7
9;24;0,2,4,6,8,10,13,18,20;2,2,2,2,2,3,5,2,4;1,6,0,3,6,8,1,7,5,8,4,6,8,0,2,5,7,8,3,6,2,4,5,6
9;26;0,3,5,7,9,11,14,19,21;3,2,2,2,2,3,5,2,5;1,6,8,0,3,6,8,1,7,5,8,4,6,8,0,2,5,7,8,3,6,0,2,4,5,6
9;28;0,3,6,8,10,12,15,20,23;3,3,2,2,2,3,5,3,5;1,6,8,0,3,7,6,8,1,7,5,8,4,6,8,0,2,5,7,8,1,3,6,0,2,4,5,6
9;34;0,4,9,12,13,16,19,22,28;4,5,3,1,3,3,3,6,6;1,6,7,8,0,2,5,7,8,1,7,8,6,5,7,8,1,4,8,0,3,7,0,1,2,4,6,8,0,1,2,4,5,7
9;32;0,4,8,11,12,15,18,21,26;4,4,3,1,3,3,3,5,6;1,6,7,8,0,2,5,8,1,7,8,6,5,7,8,1,4,8,0,3,7,0,2,4,6,8,0,1,2,4,5,7
9;32;0,3,8,11,12,15,18,21,27;3,5,3,1,3,3,3,6,5;1,6,7,0,2,5,7,8,1,7,8,6,5,7,8,1,4,8,0,3,7,0,1,2,4,6,8,1,2,4,5,7
9;30;0,3,7,10,11,14,17,20,24;3,4,3,1,3,3,3,4,6;1,6,8,0,2,5,8,1,7,8,6,5,7,8,1,4,8,0,3,7,2,4,6,8,0,1,2,4,5,7
9;30;0,2,7,10,11,14,17,20,25;2,5,3,1,3,3,3,5,5;1,6,0,2,5,7,8,1,7,8,6,5,7,8,1,4,8,0,3,7,1,2,4,6,8,1,2,4,5,7
9;34;0,4,9,12,14,16,20,22,28;4,5,3,2,2,4,2,6,6;1,6,7,8,0,2,5,7,8,1,7,8,6,7,5,8,1,4,7,8,0,3,0,1,2,3,5,8,0,1,2,4,5,7
9;32;0,3,8,11,13,15,19,21,26;3,5,3,2,2,4,2,5,6;1,6,8,0,2,5,7,8,1,7,8,6,7,5,8,1,4,7,8,0,3,1,2,3,5,8,0,1,2,4,5,7
9;34;0,4,9,12,14,17,20,22,28;4,5,3,2,3,3,2,6,6;1,6,7,8,0,2,5,7,8,1,7,8,6,7,5,7,8,1,4,8,0,3,0,1,2,3,4,8,0,1,2,4,5,7
9;30;0,3,7,10,12,15,18,20,24;3,4,3,2,3,3,2,4,6;1,6,8,0,2,5,8,1,7,8,6,7,5,7,8,1,4,8,0,3,2,3,4,8,0,1,2,4,5,7
9;28;0,4,6,8,10,12,16,20,23;4,2,2,2,2,4,4,3,5;1,6,7,8,0,3,6,8,1,7,5,8,4,6,7,8,0,2,5,8,0,3,5,0,2,4,5,6
9;30;0,4,7,9,11,13,17,21,25;4,3,2,2,2,4,4,4,5;1,6,7,8,0,3,7,6,8,1,7,5,8,4,6,7,8,0,2,5,8,0,1,3,5,0,2,4,5,6
9;26;0,3,5,7,9,11,15,19,21;3,2,2,2,2,4,4,2,5;1,6,8,0,3,6,8,1,7,5,8,4,6,7,8,0,2,5,8,3,5,0,2,4,5,6
9;34;0,4,8,10,11,14,17,22,28;4,4,2,1,3,3,5,6,6;5,6,7,8,4,6,7,8,6,8,5,1,7,8,0,3,7,0,1,2,7,8,0,1,4,5,6,8,0,1,2,4,6,7
9;32;0,4,7,9,10,13,16,21,26;4,3,2,1,3,3,5,5,6;5,6,7,8,4,6,8,6,8,5,1,7,8,0,3,7,0,1,2,7,8,0,4,5,6,8,0,1,2,4,6,7
9;32;0,3,7,9,10,13,16,21,26;3,4,2,1,3,3,5,5,6;5,6,8,4,6,7,8,6,8,5,1,7,8,0,3,7,0,1,2,7,8,1,4,5,6,8,0,1,2,4,6,7
9;30;0,3,6,8,9,12,15,20,24;3,3,2,1,3,3,5,4,6;5,6,8,4,6,8,6,8,5,1,7,8,0,3,7,0,1,2,7,8,4,5,6,8,0,1,2,4,6,7
9;32;0,4,7,9,11,14,16,21,26;4,3,2,2,3,2,5,5,6;5,6,7,8,4,6,8,6,8,5,7,1,7,8,0,3,0,1,2,7,8,0,3,4,6,8,0,1,2,4,6,7
9;34;0,4,8,11,12,15,18,22,28;4,4,3,1,3,3,4,6,6;5,6,7,8,4,6,7,8,6,7,8,5,1,7,8,0,3,7,0,1,2,8,0,1,2,4,5,8,0,1,2,4,6,7
9;32;0,3,7,10,11,14,17,21,26;3,4,3,1,3,3,4,5,6;5,6,8,4,6,7,8,6,7,8,5,1,7,8,0,3,7,0,1,2,8,1,2,4,5,8,0,1,2,4,6,7
9;34;0,4,8,11,13,16,18,22,28;4,4,3,2,3,2,4,6,6;5,6,7,8,4,6,7,8,6,7,8,5,7,1,7,8,0,3,0,1,2,8,0,1,2,3,4,8,0,1,2,4,6,7
9;24;0,1,3,5,9,11,14,17,19;1,2,2,4,2,3,3,2,5;6,4,8,5,8,5,6,7,8,1,6,2,3,8,0,3,4,3,8,1,2,3,5,7
9;26;0,2,4,6,8,10,13,18,21;2,2,2,2,2,3,5,3,5;1,6,0,3,6,8,1,7,5,8,4,6,8,0,2,5,7,8,3,6,8,2,4,5,6,7
9;30;0,4,6,8,10,12,15,20,24;4,2,2,2,2,3,5,4,6;1,6,7,8,0,3,6,8,1,7,5,8,4,6,8,0,2,5,7,8,0,3,6,8,0,2,4,5,6,7
9;34;0,4,8,10,12,14,17,22,27;4,4,2,2,2,3,5,5,7;1,6,7,8,0,3,7,8,6,8,1,7,5,8,4,6,8,0,2,5,7,8,0,1,3,6,8,0,1,2,4,5,6,7
9;28;0,3,5,7,9,11,14,19,22;3,2,2,2,2,3,5,3,6;1,6,8,0,3,6,8,1,7,5,8,4,6,8,0,2,5,7,8,3,6,8,0,2,4,5,6,7
9;24;0,1,3,5,9,11,14,18,19;1,2,2,4,2,3,4,1,5;1,0,3,6,8,1,6,7,8,5,8,4,6,8,2,3,5,8,3,2,3,4,5,6
9;26;0,2,4,6,10,12,15,19,21;2,2,2,4,2,3,4,2,5;1,7,0,3,6,8,1,6,7,8,5,8,4,6,8,2,3,5,8,0,3,2,3,4,5,6
9;28;0,1,4,6,8,11,14,19,22;1,3,2,2,3,3,5,3,6;5,5,6,8,6,8,4,8,3,6,8,0,1,7,1,2,4,7,8,5,6,8,1,2,3,4,6,7
9;26;0,2,4,6,8,10,14,18,21;2,2,2,2,2,4,4,3,5;1,6,0,3,6,8,1,7,5,8,4,6,7,8,0,2,5,8,3,5,8,2,4,5,6,7
9;30;0,4,6,8,10,12,16,20,24;4,2,2,2,2,4,4,4,6;1,6,7,8,0,3,6,8,1,7,5,8,4,6,7,8,0,2,5,8,0,3,5,8,0,2,4,5,6,7
9;28;0,3,5,7,9,11,15,19,22;3,2,2,2,2,4,4,3,6;1,6,8,0,3,6,8,1,7,5,8,4,6,7,8,0,2,5,8,3,5,8,0,2,4,5,6,7
9;30;0,3,6,8,10,12,16,20,24;3,3,2,2,2,4,4,4,6;1,6,8,0,3,7,6,8,1,7,5,8,4,6,7,8,0,2,5,8,1,3,5,8,0,2,4,5,6,7
9;32;0,3,7,9,11,13,17,21,25;3,4,2,2,2,4,4,4,7;1,6,8,0,3,7,8,6,8,1,7,5,8,4,6,7,8,0,2,5,8,1,3,5,8,0,1,2,4,5,6,7
9;30;0,3,7,9,10,13,15,20,25;3,4,2,1,3,2,5,5,5;1,7,8,0,6,7,8,6,8,5,5,6,7,3,4,1,2,4,7,8,0,1,4,6,8,0,1,2,6,7
